subtype,model,skill_off_n,skill_off,skill_on_n,skill_on,skill_on_e2e_n,skill_on_e2e,status
predictive_feature_engineering,haiku,20,0.32,20,0.45,20,0.37,PASS
predictive_feature_engineering,sonnet,20,0.32,20,0.47,20,0.49,PASS
exploratory_data_analysis,haiku,17,0.40,17,0.70,17,0.68,PASS
exploratory_data_analysis,sonnet,17,0.31,17,0.71,17,0.66,PASS
what_if,haiku,17,0.06,16,0.38,16,0.44,PASS
what_if,sonnet,17,0.18,17,0.39,17,0.47,PASS
causal_attribution,haiku,19,0.14,19,0.34,19,0.41,PASS
causal_attribution,sonnet,19,0.30,19,0.38,19,0.47,PASS
faceted_decomposition,haiku,18,0.13,18,0.38,18,0.43,PASS
faceted_decomposition,sonnet,18,0.30,18,0.36,18,0.34,PASS
focus_inference,haiku,17,0.60,17,0.60,17,0.60,PASS
focus_inference,sonnet,17,0.63,17,0.68,17,0.65,PASS
