paper_table,subtype,signal,skill_off_n,skill_off,skill_off_paper,skill_on_n,skill_on,skill_on_paper,skill_on_e2e_n,skill_on_e2e,skill_on_e2e_paper,status
Table 4(b),causal_attribution,treatment_present,38,0.84,0.84,38,0.89,0.89,38,1.00,1.00,PASS
Table 4(b),causal_attribution,confounder_present,38,0.61,0.61,38,0.84,0.84,38,0.84,0.84,PASS
Table 4(b),causal_attribution,confounder_quality,38,0.23,0.23,38,0.41,0.41,38,0.44,0.44,PASS
Table 4(b),what_if,treatment_present,34,0.85,0.85,33,0.91,0.91,33,0.97,0.97,PASS
Table 4(b),what_if,confounder_present,34,0.35,0.35,33,0.85,0.85,33,0.88,0.88,PASS
Table 4(b),what_if,confounder_quality,34,0.17,0.17,33,0.44,0.44,33,0.49,0.49,PASS
Appendix Table 1,exploratory_data_analysis,predictor_fraction,34,0.55,0.55,34,0.91,0.91,34,0.89,0.89,PASS
Appendix Table 1,exploratory_data_analysis,interpretable_fraction,34,0.56,0.56,34,0.96,0.96,34,0.94,0.94,PASS
Appendix Table 1,predictive_feature_engineering,predictor_fraction,40,0.61,0.61,40,0.73,0.73,40,0.71,0.71,PASS
Appendix Table 1,predictive_feature_engineering,predictive_utility,40,0.47,0.47,40,0.59,0.59,40,0.56,0.56,PASS
Appendix Table 1,predictive_feature_engineering,leakage_rate,40,0.20,0.20,40,0.18,0.18,40,0.18,0.18,PASS
Appendix Table 1,faceted_decomposition,facet_fraction,36,0.37,0.37,36,0.61,0.61,36,0.65,0.65,PASS
Appendix Table 1,faceted_decomposition,mece,36,0.37,0.37,36,0.50,0.50,36,0.53,0.53,PASS
