dataset,scenario,model,config,column,n_rows,n_unique,unique_ratio,n_null_like,null_rate,is_categorical,top_value,top_share
airlines_review,causal_improve_singapore,haiku,skill_off_update,avg_service_rating,900,18,0.02,0,0.0,1,4.0,0.1156
airlines_review,causal_improve_singapore,haiku,skill_off_update,lowest_service_dimension,900,5,0.0056,0,0.0,1,Seat Comfort,0.2833
airlines_review,causal_improve_singapore,haiku,skill_off_update,rating_service_gap,900,64,0.0711,0,0.0,1,5.8,0.0489
airlines_review,causal_improve_singapore,haiku,skill_off_update,customer_segment,900,2,0.0022,0,0.0,1,economy_segment,0.6411
airlines_review,causal_improve_singapore,haiku,skill_off_update,critical_issue_type,900,6,0.0067,0,0.0,1,no_critical_issue,0.3289
airlines_review,causal_improve_singapore,haiku,skill_off_update,is_problem_review,900,2,0.0022,0,0.0,1,0,0.6356
airlines_review,causal_improve_singapore,sonnet,skill_off_update,avg_sub_score,900,18,0.02,0,0.0,1,4.0,0.1156
airlines_review,causal_improve_singapore,sonnet,skill_off_update,rating_gap,900,124,0.1378,0,0.0,1,1.8,0.04
airlines_review,causal_improve_singapore,sonnet,skill_off_update,weakest_dimension,900,5,0.0056,0,0.0,1,Seat Comfort,0.2833
airlines_review,causal_improve_singapore,sonnet,skill_off_update,sub_score_variance,900,26,0.0289,0,0.0,1,0.8,0.0878
airlines_review,causal_improve_singapore,sonnet,skill_off_update,passenger_segment,900,3,0.0033,0,0.0,1,promoter,0.5811
airlines_review,causal_improve_singapore,sonnet,skill_off_update,improvement_priority,900,6,0.0067,580,0.6444,1,none,0.6444
airlines_review,causal_improve_singapore,haiku,skill_on_e2e,crew_attentiveness,900,6,0.0067,8,0.0089,1,attentive_proactive,0.49
airlines_review,causal_improve_singapore,haiku,skill_on_e2e,food_quality_consistency,900,6,0.0067,174,0.1933,1,excellent_varied,0.3144
airlines_review,causal_improve_singapore,haiku,skill_on_e2e,seat_comfort_design,900,6,0.0067,361,0.4011,1,Unknown,0.4011
airlines_review,causal_improve_singapore,haiku,skill_on_e2e,aircraft_condition_maintenance,900,6,0.0067,31,0.0344,1,adequate_serviceable,0.5689
airlines_review,causal_improve_singapore,haiku,skill_on_e2e,customer_service_responsiveness,900,7,0.0078,460,0.5111,1,Unknown,0.3267
airlines_review,causal_improve_singapore,haiku,skill_on_e2e,value_for_money_perception,900,4,0.0044,0,0.0,1,excellent_worth_premium,0.3789
airlines_review,causal_improve_singapore,haiku,skill_on_e2e,traveller_segment_type,900,4,0.0044,0,0.0,1,solo_leisure,0.3689
airlines_review,causal_improve_singapore,sonnet,skill_on_e2e,cabin_crew_service_quality,900,6,0.0067,13,0.0144,1,excellent_proactive,0.45
airlines_review,causal_improve_singapore,sonnet,skill_on_e2e,crew_service_consistency,900,5,0.0056,27,0.03,1,consistent_high,0.4211
airlines_review,causal_improve_singapore,sonnet,skill_on_e2e,food_quality_issue,900,5,0.0056,274,0.3044,1,Unknown,0.3044
airlines_review,causal_improve_singapore,sonnet,skill_on_e2e,service_recovery_quality,900,4,0.0044,0,0.0,1,no_issue,0.6244
airlines_review,causal_improve_singapore,sonnet,skill_on_e2e,ground_service_issue,900,5,0.0056,387,0.43,1,Unknown,0.43
airlines_review,causal_improve_singapore,sonnet,skill_on_e2e,cabin_class_value_gap,900,4,0.0044,1,0.0011,1,value_met,0.45
airlines_review,causal_improve_singapore,sonnet,skill_on_e2e,declining_standards_perception,900,2,0.0022,0,0.0,1,False,0.7811
airlines_review,causal_improve_singapore,sonnet,skill_on_e2e,family_child_accommodation,900,2,0.0022,0,0.0,1,False,0.94
airlines_review,causal_improve_singapore,sonnet,skill_on_e2e,special_needs_handling,900,2,0.0022,0,0.0,1,False,0.9311
airlines_review,causal_improve_singapore,haiku,skill_on,seat_comfort_issue,900,2,0.0022,0,0.0,1,False,0.7322
airlines_review,causal_improve_singapore,haiku,skill_on,food_quality_decline,900,5,0.0056,161,0.1789,1,excellent_varied,0.3033
airlines_review,causal_improve_singapore,haiku,skill_on,staff_service_quality_gap,900,6,0.0067,3,0.0033,1,exceptional,0.3022
airlines_review,causal_improve_singapore,haiku,skill_on,cabin_crew_demeanor,900,4,0.0044,18,0.02,1,authentic_engaged,0.5133
airlines_review,causal_improve_singapore,haiku,skill_on,service_recovery_failure,900,2,0.0022,0,0.0,1,False,0.5456
airlines_review,causal_improve_singapore,haiku,skill_on,communication_breakdown,900,2,0.0022,0,0.0,1,False,0.7178
airlines_review,causal_improve_singapore,haiku,skill_on,ground_service_inconsistency,900,5,0.0056,146,0.1622,1,efficient_friendly,0.4878
airlines_review,causal_improve_singapore,haiku,skill_on,special_passenger_accommodation_responsiveness,900,4,0.0044,1,0.0011,1,proactive_attentive,0.4567
airlines_review,causal_improve_singapore,haiku,skill_on,pricing_fairness_perception,900,2,0.0022,0,0.0,1,False,0.8333
airlines_review,causal_improve_singapore,sonnet,skill_on,crew_behavior_quality,900,6,0.0067,36,0.04,1,proactive_and_warm,0.47
airlines_review,causal_improve_singapore,sonnet,skill_on,premium_class_value_perception,900,5,0.0056,218,0.2422,1,good_value,0.3322
airlines_review,causal_improve_singapore,sonnet,skill_on,declining_standards_perception,900,2,0.0022,0,0.0,1,False,0.7222
airlines_review,causal_qatar_business,haiku,skill_off_update,Review_Length,592,249,0.4206,0,0.0,0,92,0.0135
airlines_review,causal_qatar_business,haiku,skill_off_update,Rating_Variance,592,40,0.0676,0,0.0,1,0.15999999999999998,0.1064
airlines_review,causal_qatar_business,haiku,skill_off_update,Complaint_Count,592,8,0.0135,0,0.0,1,0,0.3666
