dataset,scenario,model,config,status,n_rows,n_aug_cols,n_cells,n_null,null_rate
airlines_review,causal_improve_singapore,haiku,skill_off_update,OK,900,6,5400,0,0.0
airlines_review,causal_improve_singapore,sonnet,skill_off_update,OK,900,6,5400,580,0.1074
airlines_review,causal_improve_singapore,haiku,skill_on_e2e,OK,900,7,6300,1034,0.1641
airlines_review,causal_improve_singapore,sonnet,skill_on_e2e,OK,900,9,8100,702,0.0867
airlines_review,causal_improve_singapore,haiku,skill_on,OK,900,9,8100,329,0.0406
airlines_review,causal_improve_singapore,sonnet,skill_on,OK,900,3,2700,254,0.0941
airlines_review,causal_qatar_business,haiku,skill_off_update,OK,592,7,4144,0,0.0
airlines_review,causal_qatar_business,sonnet,skill_off_update,OK,592,7,4144,0,0.0
airlines_review,causal_qatar_business,haiku,skill_on_e2e,OK,592,5,2960,329,0.1111
airlines_review,causal_qatar_business,sonnet,skill_on_e2e,OK,592,8,4736,1902,0.4016
airlines_review,causal_qatar_business,haiku,skill_on,OK,592,7,4144,755,0.1822
airlines_review,causal_qatar_business,sonnet,skill_on,OK,592,9,5328,3091,0.5801
airlines_review,concept_advantage_attributes,haiku,skill_off_update,OK,899,3,2697,230,0.0853
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,OK,899,10,8990,10,0.0011
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,OK,899,12,10788,1302,0.1207
airlines_review,concept_advantage_attributes,sonnet,skill_on_e2e,OK,899,6,5394,981,0.1819
airlines_review,concept_advantage_attributes,haiku,skill_on,OK,899,7,6293,776,0.1233
airlines_review,concept_advantage_attributes,sonnet,skill_on,OK,899,8,7192,751,0.1044
airlines_review,concept_key_focus_points,haiku,skill_off_update,OK,900,4,3600,0,0.0
airlines_review,concept_key_focus_points,sonnet,skill_off_update,OK,900,5,4500,252,0.056
airlines_review,concept_key_focus_points,haiku,skill_on_e2e,OK,900,9,8100,1652,0.204
airlines_review,concept_key_focus_points,sonnet,skill_on_e2e,OK,900,7,6300,3019,0.4792
airlines_review,concept_key_focus_points,haiku,skill_on,OK,900,5,4500,644,0.1431
airlines_review,concept_key_focus_points,sonnet,skill_on,OK,900,8,7200,1469,0.204
airlines_review,eda_rating_drivers,haiku,skill_off_update,OK,900,12,10800,0,0.0
airlines_review,eda_rating_drivers,sonnet,skill_off_update,OK,900,12,10800,0,0.0
airlines_review,eda_rating_drivers,haiku,skill_on_e2e,OK,900,7,6300,615,0.0976
airlines_review,eda_rating_drivers,sonnet,skill_on_e2e,OK,900,9,8100,1232,0.1521
airlines_review,eda_rating_drivers,haiku,skill_on,OK,900,6,5400,1248,0.2311
airlines_review,eda_rating_drivers,sonnet,skill_on,OK,900,9,8100,598,0.0738
airlines_review,focus_inference,haiku,skill_off_update,OK,900,8,7200,0,0.0
airlines_review,focus_inference,sonnet,skill_off_update,OK,900,3,2700,0,0.0
airlines_review,focus_inference,haiku,skill_on_e2e,OK,900,6,5400,1060,0.1963
airlines_review,focus_inference,sonnet,skill_on_e2e,OK,900,11,9900,3043,0.3074
airlines_review,focus_inference,haiku,skill_on,OK,900,7,6300,243,0.0386
airlines_review,focus_inference,sonnet,skill_on,OK,900,7,6300,2299,0.3649
airlines_review,prediction_cathay_rating_model,haiku,skill_off_update,OK,744,10,7440,0,0.0
airlines_review,prediction_cathay_rating_model,sonnet,skill_off_update,OK,744,6,4464,0,0.0
airlines_review,prediction_cathay_rating_model,haiku,skill_on_e2e,OK,744,7,5208,772,0.1482
airlines_review,prediction_cathay_rating_model,sonnet,skill_on_e2e,OK,744,9,6696,2203,0.329
airlines_review,prediction_cathay_rating_model,haiku,skill_on,OK,744,8,5952,973,0.1635
airlines_review,prediction_cathay_rating_model,sonnet,skill_on,OK,744,10,7440,1175,0.1579
airlines_review,prediction_satisfaction_drivers,haiku,skill_off_update,OK,900,9,8100,0,0.0
airlines_review,prediction_satisfaction_drivers,sonnet,skill_off_update,OK,900,7,6300,0,0.0
airlines_review,prediction_satisfaction_drivers,haiku,skill_on_e2e,OK,900,6,5400,1052,0.1948
airlines_review,prediction_satisfaction_drivers,sonnet,skill_on_e2e,OK,900,5,4500,322,0.0716
airlines_review,prediction_satisfaction_drivers,haiku,skill_on,OK,900,6,5400,865,0.1602
airlines_review,prediction_satisfaction_drivers,sonnet,skill_on,OK,900,10,9000,1678,0.1864
airlines_review,whatif_service_complaints,haiku,skill_off_update,OK,900,2,1800,0,0.0
airlines_review,whatif_service_complaints,sonnet,skill_off_update,OK,900,2,1800,0,0.0
airlines_review,whatif_service_complaints,haiku,skill_on_e2e,OK,900,7,6300,83,0.0132
airlines_review,whatif_service_complaints,sonnet,skill_on_e2e,OK,900,8,7200,674,0.0936
airlines_review,whatif_service_complaints,haiku,skill_on,OK,900,7,6300,0,0.0
airlines_review,whatif_service_complaints,sonnet,skill_on,OK,900,4,3600,337,0.0936
amazon_fine_food_review,causal_low_score_attribution,haiku,skill_off_update,OK,10000,10,100000,0,0.0
amazon_fine_food_review,causal_low_score_attribution,sonnet,skill_off_update,OK,10000,15,150000,0,0.0
amazon_fine_food_review,causal_low_score_attribution,haiku,skill_on_e2e,OK,10000,1,10000,9209,0.9209
amazon_fine_food_review,causal_low_score_attribution,sonnet,skill_on_e2e,OK,10000,2,20000,8,0.0004
amazon_fine_food_review,causal_low_score_attribution,haiku,skill_on,OK,10000,2,20000,18721,0.9361
amazon_fine_food_review,causal_low_score_attribution,sonnet,skill_on,OK,10000,7,70000,25885,0.3698
amazon_fine_food_review,causal_whatif_helpfulness,haiku,skill_off_update,OK,10000,2,20000,0,0.0
amazon_fine_food_review,causal_whatif_helpfulness,sonnet,skill_off_update,OK,10000,4,40000,1933,0.0483
amazon_fine_food_review,causal_whatif_helpfulness,haiku,skill_on_e2e,OK,10000,15,150000,951,0.0063
amazon_fine_food_review,causal_whatif_helpfulness,sonnet,skill_on_e2e,OK,10000,10,100000,17037,0.1704
amazon_fine_food_review,causal_whatif_helpfulness,haiku,skill_on,OK,10000,14,140000,6628,0.0473
amazon_fine_food_review,causal_whatif_helpfulness,sonnet,skill_on,OK,10000,11,110000,14,0.0001
amazon_fine_food_review,concept_focus_inference,haiku,skill_off_update,OK,10000,7,70000,0,0.0
amazon_fine_food_review,concept_focus_inference,sonnet,skill_off_update,OK,10000,10,100000,4878,0.0488
amazon_fine_food_review,concept_focus_inference,haiku,skill_on_e2e,OK,10000,5,50000,10994,0.2199
amazon_fine_food_review,concept_focus_inference,sonnet,skill_on_e2e,OK,10000,8,80000,33372,0.4172
amazon_fine_food_review,concept_focus_inference,haiku,skill_on,OK,10000,3,30000,50,0.0017
amazon_fine_food_review,concept_focus_inference,sonnet,skill_on,OK,10000,9,90000,24484,0.272
amazon_fine_food_review,concept_food_quality_facets,haiku,skill_off_update,OK,10000,10,100000,0,0.0
amazon_fine_food_review,concept_food_quality_facets,sonnet,skill_off_update,OK,10000,9,90000,1222,0.0136
amazon_fine_food_review,concept_food_quality_facets,haiku,skill_on_e2e,OK,10000,1,10000,309,0.0309
amazon_fine_food_review,concept_food_quality_facets,sonnet,skill_on_e2e,OK,10000,4,40000,7237,0.1809
amazon_fine_food_review,concept_food_quality_facets,haiku,skill_on,OK,10000,2,20000,16633,0.8317
amazon_fine_food_review,concept_food_quality_facets,sonnet,skill_on,OK,10000,4,40000,5400,0.135
amazon_fine_food_review,eda_product_attributes,haiku,skill_off_update,OK,10000,9,90000,0,0.0
amazon_fine_food_review,eda_product_attributes,sonnet,skill_off_update,OK,10000,16,160000,961,0.006
amazon_fine_food_review,eda_product_attributes,haiku,skill_on_e2e,OK,10000,2,20000,72,0.0036
amazon_fine_food_review,eda_product_attributes,sonnet,skill_on_e2e,OK,10000,8,80000,43419,0.5427
amazon_fine_food_review,eda_product_attributes,haiku,skill_on,OK,10000,10,100000,8469,0.0847
amazon_fine_food_review,eda_product_attributes,sonnet,skill_on,OK,10000,7,70000,4421,0.0632
amazon_fine_food_review,focus_inference,haiku,skill_off_update,OK,10000,5,50000,0,0.0
