dataset,task,baseline_notext,haiku_skilloff_notext,haiku_skillon_notext,sonnet_skilloff_notext,sonnet_skillon_notext,baseline_text,haiku_skilloff_text,haiku_skillon_text,sonnet_skilloff_text,sonnet_skillon_text,baseline_notext_std,haiku_skilloff_notext_std,haiku_skillon_notext_std,sonnet_skilloff_notext_std,sonnet_skillon_notext_std,baseline_text_std,haiku_skilloff_text_std,haiku_skillon_text_std,sonnet_skilloff_text_std,sonnet_skillon_text_std,n_seeds_note
laptops,reg,0.7941,0.7964,0.7982,0.8039,0.8069,0.7443,0.7805,0.7646,0.7557,0.7391,0.0546,0.0681,0.0520,0.0388,0.0609,0.0937,0.0720,0.0625,0.0703,0.0707,
wine,reg,0.3140,0.2526,0.5136,0.0443,0.4415,0.3389,0.3573,0.4110,0.4202,0.5192,0.1565,0.2069,0.1114,0.3314,0.0755,0.1575,0.1429,0.1034,0.0835,0.0640,
hs_cards,clf,0.6349,0.6651,0.6445,0.6299,0.6416,0.7260,0.7228,0.7160,0.7174,0.7253,0.0149,0.0137,0.0116,0.0156,0.0040,0.0156,0.0109,0.0128,0.0186,0.0147,
beer,reg,0.4693,0.5010,0.4891,0.4780,0.5392,0.5809,0.5797,0.5625,0.5720,0.5805,0.0447,0.0297,0.0421,0.0350,0.0390,0.0171,0.0192,0.0226,0.0193,0.0311,
airbnb,reg,0.5704,0.5675,0.5787,0.5629,0.5735,0.5664,0.5485,0.5758,0.5895,0.5598,0.0434,0.0299,0.0426,0.0514,0.0529,0.0303,0.0367,0.0258,0.0284,0.0307,
osha_accidents,clf,0.5200,0.5377,0.5370,0.5373,0.5533,0.5443,0.5573,0.5373,0.5743,0.5473,0.0213,0.0162,0.0107,0.0153,0.0222,0.0118,0.0090,0.0191,0.0212,0.0126,
spotify,clf,0.6433,0.6223,0.6523,0.6300,0.7547,0.7580,0.7593,0.7610,0.7507,0.8100,0.0132,0.0136,0.0105,0.0144,0.0127,0.0161,0.0166,0.0106,0.0163,0.0056,
mercari,reg,0.0145,-0.2114,-0.2679,-0.3018,-0.2286,-0.0260,-0.0278,0.0751,0.0038,0.0616,0.0083,0.1748,0.1891,0.2825,0.2360,0.0999,0.1136,0.1053,0.1556,0.0692,
job_frauds,clf,0.8477,0.8260,0.8923,0.8493,0.8980,0.9507,0.8264,0.9520,0.8506,0.9547,0.0070,0.0074,0.0085,0.0124,0.0061,0.0034,0.0105,0.0051,0.0115,0.0029,haiku_skilloff; sonnet_skilloff =5seed
customer_complaints,clf,0.5913,0.5823,0.5970,0.5940,0.6123,0.6520,0.6577,0.6523,0.6673,0.6550,0.0217,0.0031,0.0318,0.0181,0.0065,0.0096,0.0094,0.0052,0.0108,0.0069,
kickstarter,clf,0.6507,0.6643,0.6657,0.6647,0.6703,0.7343,0.7317,0.7400,0.7313,0.7350,0.0161,0.0131,0.0251,0.0212,0.0189,0.0147,0.0154,0.0051,0.0242,0.0133,
sf_permits,reg,0.2946,0.3000,0.3068,0.3406,0.3724,0.3283,0.3586,0.2968,0.3218,0.3037,0.0926,0.1351,0.1901,0.0709,0.1330,0.0736,0.0605,0.0614,0.1295,0.0661,
