dataset,task,baseline_notext,haiku_skilloff_notext,haiku_skillon_notext,sonnet_skilloff_notext,sonnet_skillon_notext,baseline_text,haiku_skilloff_text,haiku_skillon_text,sonnet_skilloff_text,sonnet_skillon_text,baseline_notext_std,haiku_skilloff_notext_std,haiku_skillon_notext_std,sonnet_skilloff_notext_std,sonnet_skillon_notext_std,baseline_text_std,haiku_skilloff_text_std,haiku_skillon_text_std,sonnet_skilloff_text_std,sonnet_skillon_text_std,n_seeds_note
laptops,reg,0.7941,0.7964,0.7982,0.8039,0.8069,0.7491,0.7793,0.8018,0.7591,0.7276,0.0546,0.0681,0.0520,0.0388,0.0609,0.0943,0.0602,0.0474,0.0768,0.0908,
wine,reg,0.3140,0.2526,0.5136,0.0443,0.4415,0.3593,0.4636,0.4318,0.4496,0.4748,0.1565,0.2069,0.1114,0.3314,0.0755,0.1395,0.1342,0.0937,0.0264,0.0489,
hs_cards,clf,0.6349,0.6651,0.6445,0.6299,0.6416,0.7167,0.7149,0.7189,0.7174,0.7224,0.0149,0.0137,0.0116,0.0156,0.0040,0.0191,0.0150,0.0111,0.0138,0.0137,
beer,reg,0.4693,0.5010,0.4891,0.4780,0.5392,0.5729,0.5750,0.5895,0.5727,0.5705,0.0447,0.0297,0.0421,0.0350,0.0390,0.0220,0.0213,0.0203,0.0252,0.0394,
airbnb,reg,0.5704,0.5675,0.5787,0.5629,0.5735,0.5617,0.5489,0.5942,0.5546,0.5787,0.0434,0.0299,0.0426,0.0514,0.0529,0.0119,0.0287,0.0239,0.0260,0.0313,
osha_accidents,clf,0.5200,0.5377,0.5370,0.5373,0.5533,0.5433,0.5527,0.5510,0.5613,0.5647,0.0213,0.0162,0.0107,0.0153,0.0222,0.0135,0.0122,0.0135,0.0237,0.0114,
spotify,clf,0.6433,0.6223,0.6523,0.6300,0.7547,0.7590,0.7517,0.7607,0.7563,0.8177,0.0132,0.0136,0.0105,0.0144,0.0127,0.0120,0.0145,0.0145,0.0143,0.0147,
mercari,reg,0.0145,-0.2114,-0.2679,-0.3018,-0.2286,-0.0260,-0.0278,0.0751,0.0038,0.0616,0.0083,0.1748,0.1891,0.2825,0.2360,0.0999,0.1136,0.1053,0.1556,0.0692,
job_frauds,clf,0.8477,0.8260,0.8923,0.8493,0.8980,0.9467,0.9543,0.9583,0.9513,0.9577,0.0070,0.0074,0.0085,0.0124,0.0061,0.0092,0.0079,0.0059,0.0058,0.0029,haiku_skilloff; sonnet_skilloff =5seed
customer_complaints,clf,0.5913,0.5823,0.5970,0.5940,0.6123,0.6623,0.6620,0.6540,0.6570,0.6647,0.0217,0.0031,0.0318,0.0181,0.0065,0.0215,0.0199,0.0140,0.0067,0.0140,
kickstarter,clf,0.6507,0.6643,0.6657,0.6647,0.6703,0.7360,0.7397,0.7430,0.7293,0.7407,0.0161,0.0131,0.0251,0.0212,0.0189,0.0108,0.0190,0.0195,0.0248,0.0104,
sf_permits,reg,0.2946,0.3000,0.3068,0.3406,0.3724,0.3542,0.3546,0.3380,0.3475,0.3581,0.0926,0.1351,0.1901,0.0709,0.1330,0.1202,0.0328,0.1146,0.1156,0.0752,
