dataset,task,baseline_mean,baseline_std,haiku_skilloff_mean,haiku_skilloff_std,haiku_skillon_mean,haiku_skillon_std,sonnet_skilloff_mean,sonnet_skilloff_std,sonnet_skillon_mean,sonnet_skillon_std,status
airbnb,reg,0.5704,0.0434,0.5675,0.0299,0.5787,0.0426,0.5629,0.0514,0.5735,0.0529,PASS
beer,reg,0.4693,0.0447,0.5010,0.0297,0.4891,0.0421,0.4780,0.0350,0.5392,0.0390,PASS
laptops,reg,0.7941,0.0546,0.7964,0.0681,0.7982,0.0520,0.8039,0.0388,0.8069,0.0609,PASS
sf_permits,reg,0.2946,0.0926,0.3000,0.1351,0.3068,0.1901,0.3406,0.0709,0.3724,0.1330,PASS
wine,reg,0.3140,0.1565,0.2526,0.2069,0.5136,0.1114,0.0443,0.3314,0.4415,0.0755,PASS
customer_complaints,clf,0.5913,0.0217,0.5823,0.0031,0.5970,0.0318,0.5940,0.0181,0.6123,0.0065,PASS
hs_cards,clf,0.6349,0.0149,0.6651,0.0137,0.6445,0.0116,0.6299,0.0156,0.6416,0.0040,PASS
job_frauds,clf,0.8477,0.0070,0.8260,0.0074,0.8923,0.0085,0.8493,0.0124,0.8980,0.0061,PASS
kickstarter,clf,0.6507,0.0161,0.6643,0.0131,0.6657,0.0251,0.6647,0.0212,0.6703,0.0189,PASS
osha_accidents,clf,0.5200,0.0213,0.5377,0.0162,0.5370,0.0107,0.5373,0.0153,0.5533,0.0222,PASS
spotify,clf,0.6433,0.0132,0.6223,0.0136,0.6523,0.0105,0.6300,0.0144,0.7547,0.0127,PASS
