dataset,task,baseline_mean,baseline_std,haiku_skilloff_mean,haiku_skilloff_std,haiku_skillon_mean,haiku_skillon_std,sonnet_skilloff_mean,sonnet_skilloff_std,sonnet_skillon_mean,sonnet_skillon_std,status
airbnb,reg,0.5617,0.0119,0.5489,0.0287,0.5942,0.0239,0.5546,0.0260,0.5787,0.0313,PASS
beer,reg,0.5729,0.0220,0.5750,0.0213,0.5895,0.0203,0.5727,0.0252,0.5705,0.0394,PASS
laptops,reg,0.7491,0.0943,0.7793,0.0602,0.8018,0.0474,0.7591,0.0768,0.7276,0.0908,PASS
sf_permits,reg,0.3542,0.1202,0.3546,0.0328,0.3380,0.1146,0.3475,0.1156,0.3581,0.0752,PASS
wine,reg,0.3593,0.1395,0.4636,0.1342,0.4318,0.0937,0.4496,0.0264,0.4748,0.0489,PASS
customer_complaints,clf,0.6623,0.0215,0.6620,0.0199,0.6540,0.0140,0.6570,0.0067,0.6647,0.0140,PASS
hs_cards,clf,0.7167,0.0191,0.7149,0.0150,0.7189,0.0111,0.7174,0.0138,0.7224,0.0137,PASS
job_frauds,clf,0.9467,0.0092,0.9543,0.0079,0.9583,0.0059,0.9513,0.0058,0.9577,0.0029,PASS
kickstarter,clf,0.7360,0.0108,0.7397,0.0190,0.7430,0.0195,0.7293,0.0248,0.7407,0.0104,PASS
osha_accidents,clf,0.5433,0.0135,0.5527,0.0122,0.5510,0.0135,0.5613,0.0237,0.5647,0.0114,PASS
spotify,clf,0.7590,0.0120,0.7517,0.0145,0.7607,0.0145,0.7563,0.0143,0.8177,0.0147,PASS
